taxonNo,flora,family,taxon,mainsubject,subject,subpart,category,value,mod,posit,phase,presence,start,end
51692,FTEA,Sapindaceae,Allophylus abyssinicus,plant,plant,,subject,plant,,,,,0,184
51692,FTEA,Sapindaceae,Allophylus abyssinicus,plant,plant,,life-form,tree,Medium to fairly large,,,,6,37
51692,FTEA,Sapindaceae,Allophylus abyssinicus,plant,plant,,habit,shrubby,rarely,,,,38,53
51692,FTEA,Sapindaceae,Allophylus abyssinicus,plant,plant,,dimension,"('(4.5–)6–21(–25)', 'm.', 'tall')",,,,,54,119
51692,FTEA,Sapindaceae,Allophylus abyssinicus,plant,plant,bole,dimension,"('30–90', 'cm.', 'diameter')",slender,,,Present,54,119
51692,FTEA,Sapindaceae,Allophylus abyssinicus,plant,plant,,,buttressed,sometimes slightly,at the base,,,120,184
51692,FTEA,Sapindaceae,Allophylus abyssinicus,plant,crown,,subject,crown,,,,,186,239
51692,FTEA,Sapindaceae,Allophylus abyssinicus,plant,crown,,coloration,green,dark,,,,192,203
51692,FTEA,Sapindaceae,Allophylus abyssinicus,plant,crown,,architecture,open TO dense,,,,,204,218
51692,FTEA,Sapindaceae,Allophylus abyssinicus,plant,crown,,shape,irregular,,,,,219,239
51692,FTEA,Sapindaceae,Allophylus abyssinicus,plant,crown,,shape,rounded,,,,,219,239
51692,FTEA,Sapindaceae,Allophylus abyssinicus,plant,bark,,subject,bark,,,,,241,349
51692,FTEA,Sapindaceae,Allophylus abyssinicus,plant,bark,,coloration,white,grey or greyish,,,,246,268
51692,FTEA,Sapindaceae,Allophylus abyssinicus,plant,bark,,coloration,grey,,,,,246,268
51692,FTEA,Sapindaceae,Allophylus abyssinicus,plant,bark,,coloration,white,greyish,,,,246,268
51692,FTEA,Sapindaceae,Allophylus abyssinicus,plant,bark,,relief,smooth,,,,,269,306
51692,FTEA,Sapindaceae,Allophylus abyssinicus,plant,bark,,relief,rough,slightly,,,,269,306
51692,FTEA,Sapindaceae,Allophylus abyssinicus,plant,bark,,relief,granular,,,,,269,306
51692,FTEA,Sapindaceae,Allophylus abyssinicus,plant,bark,,relief,peeling,sometimes,in small to large flakes,,,307,349
51692,FTEA,Sapindaceae,Allophylus abyssinicus,plant,slash,,subject,slash,,,,,351,523
51692,FTEA,Sapindaceae,Allophylus abyssinicus,plant,slash,,,pepper,,,,,434,441
51692,FTEA,Sapindaceae,Allophylus abyssinicus,plant,slash,,count,1,<i>Ede</i>,,,,459,472
51692,FTEA,Sapindaceae,Allophylus abyssinicus,plant,slash,lines,presence,,pinky brown green-edged,,,Present,489,523
51692,FTEA,Sapindaceae,Allophylus abyssinicus,plant,sapwood,,subject,sapwood,,,,,525,538
51692,FTEA,Sapindaceae,Allophylus abyssinicus,plant,sapwood,,coloration,white,,,,,533,538
51692,FTEA,Sapindaceae,Allophylus abyssinicus,plant,branch,,subject,branch,young,,,,540,613
51692,FTEA,Sapindaceae,Allophylus abyssinicus,plant,branch,,pubescence,tomentellous,minutely ferruginous,,,,555,613
51692,FTEA,Sapindaceae,Allophylus abyssinicus,plant,branch,,texture,lenticellate,densely,,,,555,613
51692,FTEA,Sapindaceae,Allophylus abyssinicus,leaves,leaves,,subject,leaves,,,,,615,681
51692,FTEA,Sapindaceae,Allophylus abyssinicus,leaves,leaves,,architecture,-foliolate,tri,,,,622,635
51692,FTEA,Sapindaceae,Allophylus abyssinicus,leaves,leaves,,reflectance,dull,,above,drying,,636,663
51692,FTEA,Sapindaceae,Allophylus abyssinicus,leaves,leaves,,coloration,dark,,above,drying,,636,663
51692,FTEA,Sapindaceae,Allophylus abyssinicus,leaves,leaves,,reflectance,dull,,,drying,,636,663
51692,FTEA,Sapindaceae,Allophylus abyssinicus,leaves,leaves,,texture,coriaceous,thinly,,,,664,681
51692,FTEA,Sapindaceae,Allophylus abyssinicus,leaves,petiole,,subject,petiole,,,,,683,771
51692,FTEA,Sapindaceae,Allophylus abyssinicus,leaves,petiole,,dimension,"('2.5–10.5', 'mm.', 'long')",,,,,691,709
51692,FTEA,Sapindaceae,Allophylus abyssinicus,leaves,petiole,,pubescence,tomentellous,minutely,,,,710,771
51692,FTEA,Sapindaceae,Allophylus abyssinicus,leaves,petiole,,pubescence,pubescent,less often more distinctly,,,,710,771
51692,FTEA,Sapindaceae,Allophylus abyssinicus,leaves,leaflet,,subject,leaflet,,,,,773,1061
51692,FTEA,Sapindaceae,Allophylus abyssinicus,leaves,leaflet,,shape,elliptic TO obovate,,,,,782,802
51692,FTEA,Sapindaceae,Allophylus abyssinicus,leaves,leaflet,,dimension,"('(2.8–)5.5–21', 'cm.', 'long')",,,,,803,825
51692,FTEA,Sapindaceae,Allophylus abyssinicus,leaves,leaflet,,dimension,"('(1.2–)3–11', 'cm.', 'wide')",,,,,826,846
51692,FTEA,Sapindaceae,Allophylus abyssinicus,leaves,leaflet,,shape,acute TO acuminate,,at the apex,,,847,878
51692,FTEA,Sapindaceae,Allophylus abyssinicus,leaves,leaflet,,shape,attenuate TO cuneate,,at the base,,,879,912
51692,FTEA,Sapindaceae,Allophylus abyssinicus,leaves,leaflet,,shape,shallowly crenulate TO toothed,,,,,913,944
51692,FTEA,Sapindaceae,Allophylus abyssinicus,leaves,leaflet,,age,young,very,,,,975,986
51692,FTEA,Sapindaceae,Allophylus abyssinicus,leaves,leaflet,,pubescence,glabrescent,,,later,,987,1040
51692,FTEA,Sapindaceae,Allophylus abyssinicus,leaves,leaflet,,pubescence,glabrous TO minutely puberulous,,,later,,987,1040
